OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountDidStaffListen,PercentageDidStaffListen,CountHelpedUnderstandDifficulties,PercentageHelpedUnderstandDifficulties,CountFeelInvolved,PercentageFeelInvolved,CountHelpThatMattered,PercentageHelpThatMattered,CountConfidenceInYourTherapist,PercentageConfidenceInYourTherapist,CountDidYouReceiveTheEmploymentHelpYouRequired,PercentageDidYouReceiveTheEmploymentHelpYouRequired,CountGivenInformationAboutOptions,PercentageGivenInformationAboutOptions,CountPreferTreatments,PercentagePreferTreatments,CountOfferedYourPreference,PercentageOfferedYourPreference,CountDidAssessmentCoverYourEmploymentNeeds,PercentageDidAssessmentCoverYourEmploymentNeeds,CountAssessmentSatisfaction,PercentageAssessmentSatisfaction
England,All,All,Treatment Questionnaire response,Total responses,Null,70524,-,70524,-,70524,-,70524,-,70524,-,70524,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,At all times,Null,64162,91,45440,64.4,55201,78.3,49112,69.6,59784,84.8,18558,26.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Most of the time,Null,3964,5.6,15755,22.3,9226,13.1,12736,18.1,6660,9.4,4071,5.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Sometimes,Null,1332,1.9,6281,8.9,3746,5.3,5277,7.5,2236,3.2,1942,2.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Rarely,Null,597,0.8,1743,2.5,1392,2,1878,2.7,1042,1.5,809,1.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Never,Null,321,0.5,1074,1.5,877,1.2,1440,2,720,1,1581,2.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,15085,21.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,148,0.2,231,0.3,82,0.1,81,0.1,82,0.1,28478,40.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,124227,-,124227,-,124227,-,124227,-,Null,Null
England,All,All,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,110483,88.9,90592,72.9,82041,66,53315,42.9,Null,Null
England,All,All,Assessment Questionnaire response,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,13047,10.5,32502,26.2,8882,7.1,7132,5.7,Null,Null
England,All,All,Assessment Questionnaire response,Not applicable,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,-,-,-,-,31740,25.6,55385,44.6,Null,Null
England,All,All,Assessment Questionnaire response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,697,0.6,1133,0.9,1564,1.3,8395,6.8,Null,Null
England,All,All,Assessment Questionnaire (Satisfaction) response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,124227,-
England,All,All,Assessment Questionnaire (Satisfaction) response,Completely satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,97119,78.2
England,All,All,Assessment Questionnaire (Satisfaction) response,Mostly satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,18917,15.2
England,All,All,Assessment Questionnaire (Satisfaction) response,Neither satisfied nor dissatisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5474,4.4
England,All,All,Assessment Questionnaire (Satisfaction) response,Not satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,844,0.7
England,All,All,Assessment Questionnaire (Satisfaction) response,Not at all satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,565,0.5
England,All,All,Assessment Questionnaire (Satisfaction) response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1308,1.1
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Total responses,Null,75,-,75,-,75,-,75,-,75,-,75,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,At all times,Null,65,91,45,58,60,82,55,73,60,82,20,24,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Most of the time,Null,*,*,20,30,5,8,10,15,10,12,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Sometimes,Null,*,*,5,8,*,*,5,8,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Rarely,Null,*,*,*,*,*,*,*,*,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Never,Null,*,*,*,*,*,*,*,*,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,25,31,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,*,*,*,*,*,*,*,*,*,*,25,36,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,245,-,245,-,245,-,245,-,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,225,91,190,77,180,73,125,51,Null,Null
