ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
01/04/2023,31/03/2024,8EJ83,IDQ01,NHS Number Status,960,*,*,*,960
01/04/2023,31/03/2024,8EJ83,IDQ02,Age At Start Of Reporting Period,960,*,*,*,960
01/04/2023,31/03/2024,8EJ83,IDQ03,Postcode District,960,*,*,*,960
01/04/2023,31/03/2024,8EJ83,IDQ04,Gender,960,*,*,*,960
01/04/2023,31/03/2024,8EJ83,IDQ05,Ethnic Category,640,*,*,320,960
01/04/2023,31/03/2024,8EJ83,IDQ06,Ex-British Armed Forces Indicator,595,*,*,365,960
01/04/2023,31/03/2024,8EJ83,IDQ08,Disability Code,685,*,*,*,685
01/04/2023,31/03/2024,8EJ83,IDQ09,Sexual Orientation Code,605,*,*,365,965
01/04/2023,31/03/2024,8EJ83,IDQ10,Religion Code,610,*,*,355,965
01/04/2023,31/03/2024,8EJ83,IDQ11,Referral Received Date,960,*,*,*,960
01/04/2023,31/03/2024,8EJ83,IDQ12,Referral Discharge Date,505,*,*,455,960
01/04/2023,31/03/2024,8EJ83,IDQ13,Referral Discharge Reason,505,*,*,*,505
01/04/2023,31/03/2024,8EJ83,IDQ16,Organisation Identifier (Code of Commissioner),960,*,*,*,960
01/04/2023,31/03/2024,8EJ83,IDQ17,Consultation Medium Used,4905,*,*,*,4905
01/04/2023,31/03/2024,8EJ83,IDQ18,Care Contact Therapy Mode,4905,*,*,*,4905
01/04/2023,31/03/2024,8EJ83,IDQ19,Psychotropic Medication Usage Indicator Code,4890,10,*,5,4905
01/04/2023,31/03/2024,8EJ83,IDQ20,Internet Enabled Therapy Programme,*,*,*,4905,4905
01/04/2023,31/03/2024,8EJ83,IDQ21,Long Term Condition Flag,4905,*,*,*,4905
01/04/2023,31/03/2024,8EJ83,IDQ22,Care Activity Therapy Type,5190,*,*,*,5190
01/04/2023,31/03/2024,8EJ83,IDQ26,Adult Mental Health Care Cluster,*,*,*,960,960
01/04/2023,31/03/2024,8EJ83,IDQ31,Assessment of Initial Caseness,435,*,*,*,435
01/04/2023,31/03/2024,8EJ83,IDQ32,Paired Score Completeness,435,*,*,*,435
01/04/2023,31/03/2024,8EJ83,IDQ33,ADSM Completeness,*,*,*,*,435
01/04/2023,31/03/2024,8EJ83,IDQ38,Validity of Treatment Questionnaire Date,2510,*,25,*,2535
01/04/2023,31/03/2024,8EJ83,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),2415,*,20,*,2430
01/04/2023,31/03/2024,8EJ83,IDQ40,Validity of Treatment Questionnaire Question 1 Score,265,*,*,*,265
01/04/2023,31/03/2024,8EJ83,IDQ41,Validity of Treatment Questionnaire Question 2 Score,265,*,*,*,265
01/04/2023,31/03/2024,8EJ83,IDQ42,Validity of Treatment Questionnaire Question 3 Score,265,*,*,*,265
01/04/2023,31/03/2024,8EJ83,IDQ43,Validity of Treatment Questionnaire Question 4 Score,265,*,*,*,265
01/04/2023,31/03/2024,8EJ83,IDQ44,Validity of Treatment Questionnaire Question 5 Score,265,*,*,*,265
01/04/2023,31/03/2024,8EJ83,IDQ45,Validity of Treatment Questionnaire Question 6 Score,55,*,*,*,55
01/04/2023,31/03/2024,8EJ83,IDQ46,Validity of All PEQ Treatment Fields,265,*,*,*,265
01/04/2023,31/03/2024,8EJ83,IDQ47,Validity of Assessment Questionnaire Date,2710,*,25,*,2730
01/04/2023,31/03/2024,8EJ83,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),440,*,1875,*,2315
01/04/2023,31/03/2024,8EJ83,IDQ49,Validity of Assessment 1 Field,320,*,*,*,320
01/04/2023,31/03/2024,8EJ83,IDQ50,Validity of Assessment 2 Field,320,*,*,*,320
01/04/2023,31/03/2024,8EJ83,IDQ51,Validity of Assessment 3 Field,320,*,*,*,320
01/04/2023,31/03/2024,8EJ83,IDQ52,Validity of Assessment 4 Field,310,*,*,*,310
01/04/2023,31/03/2024,8EJ83,IDQ53,Validity of Satisfaction Question 1 Score,320,*,*,*,320
01/04/2023,31/03/2024,8J724,IDQ01,NHS Number Status,500,*,*,*,500
01/04/2023,31/03/2024,8J724,IDQ02,Age At Start Of Reporting Period,500,*,*,*,500
01/04/2023,31/03/2024,8J724,IDQ03,Postcode District,455,*,*,50,500
01/04/2023,31/03/2024,8J724,IDQ04,Gender,500,*,*,*,500
01/04/2023,31/03/2024,8J724,IDQ05,Ethnic Category,70,*,430,*,500
01/04/2023,31/03/2024,8J724,IDQ06,Ex-British Armed Forces Indicator,500,*,*,*,500
01/04/2023,31/03/2024,8J724,IDQ08,Disability Code,545,*,*,*,545
01/04/2023,31/03/2024,8J724,IDQ09,Sexual Orientation Code,170,*,*,330,500
01/04/2023,31/03/2024,8J724,IDQ10,Religion Code,435,*,*,80,515
01/04/2023,31/03/2024,8J724,IDQ11,Referral Received Date,495,*,*,*,495
01/04/2023,31/03/2024,8J724,IDQ12,Referral Discharge Date,105,*,*,390,495
01/04/2023,31/03/2024,8J724,IDQ13,Referral Discharge Reason,70,*,*,35,105
01/04/2023,31/03/2024,8J724,IDQ16,Organisation Identifier (Code of Commissioner),495,*,*,*,495
01/04/2023,31/03/2024,8J724,IDQ17,Consultation Medium Used,940,*,85,*,1020
01/04/2023,31/03/2024,8J724,IDQ18,Care Contact Therapy Mode,1020,*,*,*,1020
01/04/2023,31/03/2024,8J724,IDQ19,Psychotropic Medication Usage Indicator Code,995,25,*,*,1020
01/04/2023,31/03/2024,8J724,IDQ20,Internet Enabled Therapy Programme,*,*,*,1020,1020
01/04/2023,31/03/2024,8J724,IDQ21,Long Term Condition Flag,1020,*,*,*,1020
01/04/2023,31/03/2024,8J724,IDQ22,Care Activity Therapy Type,*,*,*,1055,1055
01/04/2023,31/03/2024,8J724,IDQ26,Adult Mental Health Care Cluster,425,*,*,70,495
01/04/2023,31/03/2024,8J724,IDQ31,Assessment of Initial Caseness,45,*,*,*,45
01/04/2023,31/03/2024,8J724,IDQ32,Paired Score Completeness,45,*,*,*,45
01/04/2023,31/03/2024,8J724,IDQ33,ADSM Completeness,*,*,*,*,45
01/04/2023,31/03/2024,8J724,IDQ38,Validity of Treatment Questionnaire Date,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ40,Validity of Treatment Questionnaire Question 1 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ41,Validity of Treatment Questionnaire Question 2 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ42,Validity of Treatment Questionnaire Question 3 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ43,Validity of Treatment Questionnaire Question 4 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ44,Validity of Treatment Questionnaire Question 5 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ45,Validity of Treatment Questionnaire Question 6 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ46,Validity of All PEQ Treatment Fields,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ47,Validity of Assessment Questionnaire Date,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ49,Validity of Assessment 1 Field,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ50,Validity of Assessment 2 Field,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ51,Validity of Assessment 3 Field,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ52,Validity of Assessment 4 Field,*,*,*,*,*
01/04/2023,31/03/2024,8J724,IDQ53,Validity of Satisfaction Question 1 Score,*,*,*,*,*
01/04/2023,31/03/2024,8J766,IDQ01,NHS Number Status,2500,*,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ02,Age At Start Of Reporting Period,2500,*,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ03,Postcode District,2500,*,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ04,Gender,2490,10,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ05,Ethnic Category,2470,30,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ06,Ex-British Armed Forces Indicator,2485,*,*,15,2500
01/04/2023,31/03/2024,8J766,IDQ08,Disability Code,2355,*,*,*,2355
01/04/2023,31/03/2024,8J766,IDQ09,Sexual Orientation Code,2005,*,*,505,2510
01/04/2023,31/03/2024,8J766,IDQ10,Religion Code,2090,*,*,420,2510
01/04/2023,31/03/2024,8J766,IDQ11,Referral Received Date,2500,*,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ12,Referral Discharge Date,2005,*,*,495,2500
01/04/2023,31/03/2024,8J766,IDQ13,Referral Discharge Reason,2000,*,*,*,2005
01/04/2023,31/03/2024,8J766,IDQ16,Organisation Identifier (Code of Commissioner),2500,*,*,*,2500
01/04/2023,31/03/2024,8J766,IDQ17,Consultation Medium Used,9905,*,*,*,9905
01/04/2023,31/03/2024,8J766,IDQ18,Care Contact Therapy Mode,9905,*,*,*,9905
01/04/2023,31/03/2024,8J766,IDQ19,Psychotropic Medication Usage Indicator Code,8250,265,*,1390,9905
01/04/2023,31/03/2024,8J766,IDQ20,Internet Enabled Therapy Programme,*,*,*,9905,9905
01/04/2023,31/03/2024,8J766,IDQ21,Long Term Condition Flag,9905,*,*,*,9905
01/04/2023,31/03/2024,8J766,IDQ22,Care Activity Therapy Type,8560,*,70,11150,19780
01/04/2023,31/03/2024,8J766,IDQ26,Adult Mental Health Care Cluster,490,*,*,2005,2500
01/04/2023,31/03/2024,8J766,IDQ31,Assessment of Initial Caseness,1020,*,*,*,1020
01/04/2023,31/03/2024,8J766,IDQ32,Paired Score Completeness,1020,*,*,*,1020
01/04/2023,31/03/2024,8J766,IDQ33,ADSM Completeness,105,*,*,*,1020
01/04/2023,31/03/2024,8J766,IDQ38,Validity of Treatment Questionnaire Date,3490,*,480,*,3975
01/04/2023,31/03/2024,8J766,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),3910,*,55,*,3965
01/04/2023,31/03/2024,8J766,IDQ40,Validity of Treatment Questionnaire Question 1 Score,385,*,*,*,385
01/04/2023,31/03/2024,8J766,IDQ41,Validity of Treatment Questionnaire Question 2 Score,385,*,*,*,385
01/04/2023,31/03/2024,8J766,IDQ42,Validity of Treatment Questionnaire Question 3 Score,385,*,*,*,385
01/04/2023,31/03/2024,8J766,IDQ43,Validity of Treatment Questionnaire Question 4 Score,385,*,*,*,385
01/04/2023,31/03/2024,8J766,IDQ44,Validity of Treatment Questionnaire Question 5 Score,385,*,*,*,385
01/04/2023,31/03/2024,8J766,IDQ45,Validity of Treatment Questionnaire Question 6 Score,130,*,255,*,385
01/04/2023,31/03/2024,8J766,IDQ46,Validity of All PEQ Treatment Fields,385,*,255,*,645
