OrgType,OrgCode,OrgName,Measure,InitialCaseness,VariableType,VariableA,VariableB,Count_FinishedCourseTreatmentByInitialCasenessStatus,Count_FinishedCourseTreatmentPairedWSAS,Mean_Start,SD_Start,Mean_End,SD_End,EffectSize
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,10,NULL,4.8,3,3.7,2.6,0.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,30,NULL,6.2,2.3,5.4,4.3,0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,45,NULL,5.4,2.4,4.6,4,0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,140,NULL,5.9,2.4,5,3.9,0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],50,NULL,5.5,2.7,3,3.7,1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,35,NULL,6.6,2.1,4.4,3.6,0.9
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,20,NULL,5.5,2.9,4.5,3.5,0.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,35,NULL,4,2.9,2.6,2.9,0.6
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,5,NULL,7.8,1.3,5.8,2.9,0.8
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Other Mental Health problems,Other,20,NULL,6.1,2.3,5.2,2.4,0.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Other recorded problems,NULL,10,NULL,5.7,2.4,5.1,3.8,0.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,175,NULL,5.4,2.7,5.7,4.6,-0.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Total,All,NULL,24670,NULL,14.2,4.5,8.9,5.8,1.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Depression,NULL,12020,NULL,13.8,4.7,9,5.7,1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,10720,NULL,14.7,4.3,8.8,5.8,1.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,95,NULL,14.3,4.9,10.7,6.3,0.8
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,4805,NULL,14.8,4.1,8.6,5.6,1.6
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,295,NULL,15,4.3,7.2,5.7,1.7
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,555,NULL,14.7,4.2,9.2,6,1.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,555,NULL,14.4,4.7,9.1,5.9,1.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,1730,NULL,14.4,4.3,8.4,5.7,1.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],525,NULL,14.9,4.4,9.4,6.3,1.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,1400,NULL,15.5,4.5,10.5,6.2,1.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,635,NULL,13.3,4.8,7.9,5.6,1.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,105,NULL,13.4,4.1,6.6,5.1,1.6
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,15,NULL,13.2,3,8.6,5.7,1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,5,NULL,13,7.3,11.6,5.5,0.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,10,NULL,11.3,3.6,9.2,5.5,0.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,110,NULL,13.9,5.1,8.4,6.1,1.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Other recorded problems,NULL,95,NULL,13.4,4.7,9.5,5.5,0.8
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,1690,NULL,13.6,4.5,8.8,5.8,1.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Total,All,NULL,1540,NULL,5.1,2.4,4.5,3.7,0.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Depression,NULL,635,NULL,4.7,2,4.4,3.8,0.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,695,NULL,5.7,2.7,4.5,3.6,0.5
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,10,NULL,9.6,3.1,2.8,2,2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,325,NULL,5.2,1.8,4.9,3.6,0.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,10,NULL,7.6,2.6,3.7,2,1.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,30,NULL,4.8,1.8,4.2,3.3,0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,45,NULL,7.8,4.1,5.1,4.1,0.6
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,140,NULL,5.3,1.6,4.5,3.4,0.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],50,NULL,8.1,4.6,3.8,4.3,1.1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,35,NULL,6.8,3.9,3.9,3.3,0.7
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,20,NULL,5.9,3.2,4.2,3.7,0.6
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,35,NULL,4.2,2.3,2.9,3.1,0.6
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,5,NULL,9,2.9,5.8,2.4,1
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Other Mental Health problems,Other,20,NULL,4,2.1,4,2.4,0
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Other recorded problems,NULL,10,NULL,4.4,2.2,3.3,3,0.5
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,175,NULL,4.5,2.2,5,4.1,-0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,WASAS - Work,NULL,NULL,NULL,NULL,NULL,25215,3.4,2.7,2.7,2.5,0.2
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,WASAS - Home Management,NULL,NULL,NULL,NULL,NULL,25215,3.6,2.4,2.8,2.3,0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,WASAS - Social Leisure Activities,NULL,NULL,NULL,NULL,NULL,25215,4,2.5,3,2.4,0.4
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,WASAS - Private Leisure Activities,NULL,NULL,NULL,NULL,NULL,25215,3.5,2.5,2.7,2.3,0.3
ICB,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,WASAS - Relationships,NULL,NULL,NULL,NULL,NULL,25215,3.7,2.4,2.8,2.3,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Total,All,NULL,12750,NULL,14.8,5.5,9.3,6.4,1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Depression,NULL,5970,NULL,16.4,4.9,10.2,6.5,1.3
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,6035,NULL,13.3,5.6,8.5,6.2,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,40,NULL,13.5,4.2,9.5,5.8,0.7
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,3300,NULL,13.1,5.3,8.3,5.9,0.9
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,210,NULL,10.2,5.5,5.7,5.1,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,110,NULL,14.5,4.7,9.7,5.3,0.9
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,370,NULL,12.2,5.9,7.4,5.8,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,540,NULL,13.7,5.1,8.3,5.8,1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],250,NULL,13.2,6.2,8.9,6.7,0.7
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,675,NULL,17.2,5.5,11.9,7.3,1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,410,NULL,12.1,5.9,7.4,5.6,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,95,NULL,11.4,5.4,6.5,6,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,20,NULL,15,5.5,7.2,5.6,1.5
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,80,NULL,12.5,4.3,8.4,5.2,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Other recorded problems,NULL,25,NULL,16.5,6,10.2,7.3,1.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,AtCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,615,NULL,14.3,5.2,9.3,6.6,0.9
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Total,All,NULL,1335,NULL,5.4,2.6,4.4,3.8,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Depression,NULL,480,NULL,6,2.5,5.1,4.1,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,695,NULL,5,2.5,4,3.5,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,10,NULL,4.6,3,3.6,3,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,325,NULL,4.8,2.5,3.9,3.5,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,10,NULL,4.5,3.1,2.6,2.6,0.7
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,15,NULL,4.8,2.4,3.4,3.4,0.6
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,40,NULL,5.7,2.5,4.6,3.5,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,145,NULL,5.4,2.3,4.3,3.4,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],45,NULL,4.4,2.5,3.2,3.8,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,45,NULL,6.2,2.1,4.5,2.8,0.7
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,30,NULL,4.9,3.3,4,3.4,0.3
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,30,NULL,4,2.6,3.4,4,0.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,5,NULL,5,3.7,4.7,3.9,0.1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Other Mental Health problems,Other,60,NULL,5.6,2.3,3.5,3.2,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Other recorded problems,NULL,5,NULL,4.6,3.4,3.9,3.5,0.3
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,PHQ9,NotCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,85,NULL,5,2.7,5.1,4.9,-0.1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Total,All,NULL,12750,NULL,13.7,4.5,8.5,5.6,1.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Depression,NULL,5970,NULL,13.3,4.7,8.7,5.6,1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,6035,NULL,14.2,4.3,8.3,5.6,1.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,40,NULL,14,3.6,8.9,5.7,1.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,3300,NULL,14.5,3.9,8.2,5.5,1.6
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,210,NULL,13.3,4.8,6.6,5.3,1.5
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,110,NULL,13.6,4.3,9,5.1,1.1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,370,NULL,13.8,4.9,8.1,5.4,1.3
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,540,NULL,13.5,4.3,7.7,5.3,1.3
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],250,NULL,13.9,4.9,8.7,6,1.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,675,NULL,15.6,4.4,10.7,6.2,1.1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,410,NULL,12.2,4.9,7.2,5.2,1.1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,95,NULL,13.8,3.9,6.7,5.1,1.7
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,20,NULL,13.5,5.3,6.2,4.2,1.6
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,80,NULL,11.7,4.7,7.6,5.3,0.9
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Other recorded problems,NULL,25,NULL,13.9,5.3,8.1,5.3,1.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,AtCaseness,Presenting Complaint,Not stated/Not known/Invalid,NULL,615,NULL,13.2,4.3,8.5,5.7,1
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Total,All,NULL,1335,NULL,4.7,2.3,4.1,3.5,0.3
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Depression,NULL,480,NULL,4.5,2,4.2,3.8,0.2
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Total,695,NULL,5.1,2.4,4,3.1,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Agoraphobia,10,NULL,5.9,4,3.1,2.3,0.8
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Generalised anxiety disorder,325,NULL,4.9,1.9,4.1,3.2,0.5
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,10,NULL,3.9,2.5,1.9,1.9,0.6
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,15,NULL,4.9,1.4,3.9,2.3,0.5
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,40,NULL,7,4.1,5.4,3.8,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,145,NULL,4.7,1.9,3.8,2.7,0.4
ICB,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GAD7,NotCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],45,NULL,5.4,3.1,3.9,4.3,0.4
