ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
2024-04-01,2025-03-31,8EJ83,IDQ01,NHS Number Status,1560.0,*,*,*,1560.0
2024-04-01,2025-03-31,8EJ83,IDQ02,Age At Start Of Reporting Period,1560.0,*,*,*,1560.0
2024-04-01,2025-03-31,8EJ83,IDQ03,Postcode District,1555.0,*,*,*,1560.0
2024-04-01,2025-03-31,8EJ83,IDQ04,Gender,1560.0,*,*,*,1560.0
2024-04-01,2025-03-31,8EJ83,IDQ05,Ethnic Category,925.0,*,*,635.0,1560.0
2024-04-01,2025-03-31,8EJ83,IDQ06,Ex-British Armed Forces Indicator,835.0,*,*,725.0,1560.0
2024-04-01,2025-03-31,8EJ83,IDQ08,Disability Code,1005.0,*,*,*,1005.0
2024-04-01,2025-03-31,8EJ83,IDQ09,Sexual Orientation Code,865.0,*,*,705.0,1570.0
2024-04-01,2025-03-31,8EJ83,IDQ10,Religion Code,865.0,*,*,705.0,1570.0
2024-04-01,2025-03-31,8EJ83,IDQ11,Referral Received Date,1555.0,*,*,*,1555.0
2024-04-01,2025-03-31,8EJ83,IDQ12,Referral Discharge Date,995.0,*,*,560.0,1555.0
2024-04-01,2025-03-31,8EJ83,IDQ13,Referral Discharge Reason,995.0,*,*,*,995.0
2024-04-01,2025-03-31,8EJ83,IDQ16,Organisation Identifier (Code of Commissioner),1555.0,*,*,*,1555.0
2024-04-01,2025-03-31,8EJ83,IDQ17,Consultation Medium Used,7255.0,*,*,*,7255.0
2024-04-01,2025-03-31,8EJ83,IDQ18,Care Contact Therapy Mode,7255.0,*,*,*,7255.0
2024-04-01,2025-03-31,8EJ83,IDQ19,Psychotropic Medication Usage Indicator Code,7225.0,20.0,*,10.0,7255.0
2024-04-01,2025-03-31,8EJ83,IDQ20,Internet Enabled Therapy Programme,*,*,*,7255.0,7255.0
2024-04-01,2025-03-31,8EJ83,IDQ21,Long Term Condition Flag,7255.0,*,*,*,7255.0
2024-04-01,2025-03-31,8EJ83,IDQ22,Care Activity Therapy Type,7820.0,*,*,*,7820.0
2024-04-01,2025-03-31,8EJ83,IDQ26,Adult Mental Health Care Cluster,*,*,*,1555.0,1555.0
2024-04-01,2025-03-31,8EJ83,IDQ31,Assessment of Initial Caseness,650.0,*,*,*,650.0
2024-04-01,2025-03-31,8EJ83,IDQ32,Paired Score Completeness,650.0,*,*,*,650.0
2024-04-01,2025-03-31,8EJ83,IDQ33,ADSM Completeness,*,*,*,*,650.0
2024-04-01,2025-03-31,8EJ83,IDQ38,Validity of Treatment Questionnaire Date,4630.0,*,30.0,*,4660.0
2024-04-01,2025-03-31,8EJ83,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),4505.0,*,15.0,*,4520.0
2024-04-01,2025-03-31,8EJ83,IDQ40,Validity of Treatment Questionnaire Question 1 Score,435.0,*,*,*,435.0
2024-04-01,2025-03-31,8EJ83,IDQ41,Validity of Treatment Questionnaire Question 2 Score,435.0,*,*,*,435.0
2024-04-01,2025-03-31,8EJ83,IDQ42,Validity of Treatment Questionnaire Question 3 Score,435.0,*,*,*,435.0
2024-04-01,2025-03-31,8EJ83,IDQ43,Validity of Treatment Questionnaire Question 4 Score,435.0,*,*,*,435.0
2024-04-01,2025-03-31,8EJ83,IDQ44,Validity of Treatment Questionnaire Question 5 Score,435.0,*,*,*,435.0
2024-04-01,2025-03-31,8EJ83,IDQ45,Validity of Treatment Questionnaire Question 6 Score,80.0,*,*,*,80.0
2024-04-01,2025-03-31,8EJ83,IDQ46,Validity of All PEQ Treatment Fields,435.0,*,*,*,435.0
2024-04-01,2025-03-31,8EJ83,IDQ47,Validity of Assessment Questionnaire Date,2570.0,*,15.0,*,2585.0
2024-04-01,2025-03-31,8EJ83,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),425.0,*,1685.0,*,2110.0
2024-04-01,2025-03-31,8EJ83,IDQ49,Validity of Assessment 1 Field,305.0,*,*,*,305.0
2024-04-01,2025-03-31,8EJ83,IDQ50,Validity of Assessment 2 Field,305.0,*,*,*,305.0
2024-04-01,2025-03-31,8EJ83,IDQ51,Validity of Assessment 3 Field,300.0,*,*,*,300.0
2024-04-01,2025-03-31,8EJ83,IDQ52,Validity of Assessment 4 Field,285.0,*,*,*,285.0
2024-04-01,2025-03-31,8EJ83,IDQ53,Validity of Satisfaction Question 1 Score,305.0,*,*,*,305.0
2024-04-01,2025-03-31,8HX13,IDQ01,NHS Number Status,265.0,*,*,*,265.0
2024-04-01,2025-03-31,8HX13,IDQ02,Age At Start Of Reporting Period,265.0,*,*,*,265.0
2024-04-01,2025-03-31,8HX13,IDQ03,Postcode District,265.0,*,*,*,265.0
2024-04-01,2025-03-31,8HX13,IDQ04,Gender,265.0,*,*,*,265.0
2024-04-01,2025-03-31,8HX13,IDQ05,Ethnic Category,255.0,10.0,*,*,265.0
2024-04-01,2025-03-31,8HX13,IDQ06,Ex-British Armed Forces Indicator,265.0,*,*,*,265.0
2024-04-01,2025-03-31,8HX13,IDQ08,Disability Code,285.0,*,*,*,285.0
2024-04-01,2025-03-31,8HX13,IDQ09,Sexual Orientation Code,180.0,*,*,80.0,265.0
2024-04-01,2025-03-31,8HX13,IDQ10,Religion Code,160.0,*,*,100.0,265.0
2024-04-01,2025-03-31,8HX13,IDQ11,Referral Received Date,260.0,*,*,*,260.0
2024-04-01,2025-03-31,8HX13,IDQ12,Referral Discharge Date,200.0,*,*,65.0,260.0
2024-04-01,2025-03-31,8HX13,IDQ13,Referral Discharge Reason,190.0,*,10.0,*,200.0
2024-04-01,2025-03-31,8HX13,IDQ16,Organisation Identifier (Code of Commissioner),260.0,*,*,*,260.0
2024-04-01,2025-03-31,8HX13,IDQ17,Consultation Medium Used,880.0,*,*,*,880.0
2024-04-01,2025-03-31,8HX13,IDQ18,Care Contact Therapy Mode,880.0,*,*,*,880.0
2024-04-01,2025-03-31,8HX13,IDQ19,Psychotropic Medication Usage Indicator Code,785.0,5.0,*,85.0,880.0
2024-04-01,2025-03-31,8HX13,IDQ20,Internet Enabled Therapy Programme,*,*,*,880.0,880.0
2024-04-01,2025-03-31,8HX13,IDQ21,Long Term Condition Flag,880.0,*,*,*,880.0
2024-04-01,2025-03-31,8HX13,IDQ22,Care Activity Therapy Type,1035.0,*,145.0,780.0,1965.0
2024-04-01,2025-03-31,8HX13,IDQ26,Adult Mental Health Care Cluster,*,*,*,260.0,260.0
2024-04-01,2025-03-31,8HX13,IDQ31,Assessment of Initial Caseness,110.0,*,*,*,110.0
2024-04-01,2025-03-31,8HX13,IDQ32,Paired Score Completeness,110.0,*,*,*,110.0
2024-04-01,2025-03-31,8HX13,IDQ33,ADSM Completeness,*,*,*,*,110.0
2024-04-01,2025-03-31,8HX13,IDQ38,Validity of Treatment Questionnaire Date,4355.0,*,120.0,*,4475.0
2024-04-01,2025-03-31,8HX13,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),2830.0,*,40.0,*,2870.0
2024-04-01,2025-03-31,8HX13,IDQ40,Validity of Treatment Questionnaire Question 1 Score,560.0,*,*,*,560.0
2024-04-01,2025-03-31,8HX13,IDQ41,Validity of Treatment Questionnaire Question 2 Score,560.0,*,*,*,560.0
2024-04-01,2025-03-31,8HX13,IDQ42,Validity of Treatment Questionnaire Question 3 Score,560.0,*,*,*,560.0
2024-04-01,2025-03-31,8HX13,IDQ43,Validity of Treatment Questionnaire Question 4 Score,560.0,*,*,*,560.0
2024-04-01,2025-03-31,8HX13,IDQ44,Validity of Treatment Questionnaire Question 5 Score,560.0,*,*,*,560.0
2024-04-01,2025-03-31,8HX13,IDQ45,Validity of Treatment Questionnaire Question 6 Score,470.0,*,95.0,*,560.0
2024-04-01,2025-03-31,8HX13,IDQ46,Validity of All PEQ Treatment Fields,580.0,*,95.0,*,675.0
2024-04-01,2025-03-31,8HX13,IDQ47,Validity of Assessment Questionnaire Date,995.0,*,10.0,*,1000.0
2024-04-01,2025-03-31,8HX13,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),235.0,*,550.0,*,785.0
2024-04-01,2025-03-31,8HX13,IDQ49,Validity of Assessment 1 Field,195.0,*,*,*,195.0
2024-04-01,2025-03-31,8HX13,IDQ50,Validity of Assessment 2 Field,195.0,*,*,*,195.0
2024-04-01,2025-03-31,8HX13,IDQ51,Validity of Assessment 3 Field,195.0,*,*,*,195.0
2024-04-01,2025-03-31,8HX13,IDQ52,Validity of Assessment 4 Field,195.0,*,*,*,195.0
2024-04-01,2025-03-31,8HX13,IDQ53,Validity of Satisfaction Question 1 Score,195.0,*,*,*,195.0
