OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountDidStaffListen,PercentageDidStaffListen,CountHelpedUnderstandDifficulties,PercentageHelpedUnderstandDifficulties,CountFeelInvolved,PercentageFeelInvolved,CountHelpThatMattered,PercentageHelpThatMattered,CountConfidenceInYourTherapist,PercentageConfidenceInYourTherapist,CountDidYouReceiveTheEmploymentHelpYouRequired,PercentageDidYouReceiveTheEmploymentHelpYouRequired,CountGivenInformationAboutOptions,PercentageGivenInformationAboutOptions,CountPreferTreatments,PercentagePreferTreatments,CountOfferedYourPreference,PercentageOfferedYourPreference,CountDidAssessmentCoverYourEmploymentNeeds,PercentageDidAssessmentCoverYourEmploymentNeeds,CountAssessmentSatisfaction,PercentageAssessmentSatisfaction
England,All,All,Treatment Questionnaire response,Total responses,Null,73283,-,73283,-,73283,-,73283,-,73283,-,73283,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,At all times,Null,66056,90.1,48201,65.8,57771,78.8,51817,70.7,62327,85,24773,33.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Most of the time,Null,4043,5.5,15685,21.4,9536,13,12879,17.6,6689,9.1,4305,5.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Sometimes,Null,1444,2,6267,8.6,3478,4.7,5089,6.9,2242,3.1,2430,3.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Rarely,Null,602,0.8,1908,2.6,1555,2.1,1930,2.6,1186,1.6,1060,1.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Never,Null,278,0.4,1116,1.5,838,1.1,1464,2,717,1,4660,6.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,7224,9.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,860,1.2,106,0.1,105,0.1,104,0.1,122,0.2,28831,39.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
England,All,All,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,135518,-,135518,-,135518,-,135518,-,Null,Null
England,All,All,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,119150,87.9,97613,72,89444,66,56375,41.6,Null,Null
England,All,All,Assessment Questionnaire response,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,14363,10.6,35147,25.9,9778,7.2,9430,7,Null,Null
England,All,All,Assessment Questionnaire response,Not applicable,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,-,-,-,-,34303,25.3,57804,42.7,Null,Null
England,All,All,Assessment Questionnaire response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2005,1.5,2758,2,1993,1.5,11909,8.8,Null,Null
England,All,All,Assessment Questionnaire (Satisfaction) response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,135518,-
England,All,All,Assessment Questionnaire (Satisfaction) response,Completely satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,106387,78.5
England,All,All,Assessment Questionnaire (Satisfaction) response,Mostly satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,18908,14
England,All,All,Assessment Questionnaire (Satisfaction) response,Neither satisfied nor dissatisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5185,3.8
England,All,All,Assessment Questionnaire (Satisfaction) response,Not satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1013,0.7
England,All,All,Assessment Questionnaire (Satisfaction) response,Not at all satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,519,0.4
England,All,All,Assessment Questionnaire (Satisfaction) response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3506,2.6
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Total responses,Null,100,-,100,-,100,-,100,-,100,-,100,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,At all times,Null,90,90,75,72,85,85,80,80,90,87,35,34,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Most of the time,Null,*,*,15,17,10,8,10,11,10,10,10,8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Sometimes,Null,*,*,5,7,*,*,5,5,*,*,5,6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Rarely,Null,*,*,*,*,*,*,*,*,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Never,Null,*,*,*,*,*,*,*,*,*,*,*,*,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Not applicable,Null,-,-,-,-,-,-,-,-,-,-,10,11,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Treatment Questionnaire response,Not stated/Not known/Invalid,Null,5,5,*,*,*,*,*,*,*,*,40,38,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,250,-,250,-,250,-,250,-,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,225,91,195,78,180,73,125,51,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,8,50,21,5,2,10,3,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Not applicable,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,-,-,-,-,60,23,105,43,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*,*,*,*,*,5,2,Null,Null
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Total responses,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,250,-
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Completely satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,215,86
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Mostly satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,10
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Neither satisfied nor dissatisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5,2
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Not satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Not at all satisfied,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,UNKNOWN,UNKNOWN,Assessment Questionnaire (Satisfaction) response,Not stated/Not known/Invalid,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,Total responses,Null,7865,-,7865,-,7865,-,7865,-,7865,-,7865,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,At all times,Null,7075,90,4790,61,5840,74,5075,65,6555,83,1435,18,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,Most of the time,Null,610,8,2180,28,1430,18,1900,24,965,12,535,7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,Sometimes,Null,125,2,710,9,415,5,660,8,230,3,280,4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Commissioning Region,Y56,LONDON COMMISSIONING REGION,Treatment Questionnaire response,Rarely,Null,30,0,115,1,110,1,130,2,70,1,95,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
